,Category,Address,Date,Sold_Area_m2,Total_Area_m2,Land_m2,Interior_Area_m2,Price_EUR,Total_EUR_m2,Land_EUR_m2,Land_EUR_ha,Type,Finishing,Dom_Parts,region_with_riga,region_riga_separate,municipality,Year,Quarter
200,Zeme,"Kārklu iela 2, Mežāres, Babītes pag., Mārupes nov.",2025-09-03,1 688,1 688,1 688,,26 000,15,15.4,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2025.0,3.0
201,Zeme,"Kafijas iela 4, Katlakalns, Ķekavas pag., Ķekavas nov.",2025-09-03,1 176,1 176,1 176,,25 000,21,21.26,-,Privātmājām,,1/1,Pierīga,Pierīga,ķekavas nov,2025.0,3.0
202,Zeme,"Lakstīgala 69, Salaspils pag., Salaspils nov.",2025-09-03,594,594,594,,2 000,3,3.37,-,Privātmājām,,1/1,Pierīga,Pierīga,salaspils nov,2025.0,3.0
203,Zeme,"Tērvetes iela 157B, Jelgava",2025-09-03,1 022,1 022,1 022,,5 000,5,4.89,-,Privātmājām,,1/1,Zemgale,Zemgale,jelgava,2025.0,3.0
204,Zeme,"Lielā Strazdiņu iela 17, Dreiliņi, Stopiņu pag., Ropažu nov.",2025-09-03,876,1 752,876,,75 200,86,85.84,-,Privātmājām,,1/2,Pierīga,Pierīga,ropažu nov,2025.0,3.0
205,Zeme,"Mežgaļi 69, Lažas pag., Dienvidkurzemes nov.",2025-09-03,690,690,690,,2 200,3,3.19,-,Privātmājām,,1/1,Kurzeme,Kurzeme,dienvidkurzemes nov,2025.0,3.0
206,Zeme,"Promenādes iela 48, Berģi, Garkalnes pag., Ropažu nov.",2025-09-03,1 304,1 304,1 304,,35 000,27,26.84,-,Privātmājām,,1/1,Pierīga,Pierīga,ropažu nov,2025.0,3.0
207,Zeme,"Vanagu iela 16, Sigulda, Siguldas nov.",2025-09-03,1 516,1 516,1 516,,46 500,31,30.67,-,Privātmājām,,1/1,Pierīga,Pierīga,siguldas nov,2025.0,3.0
208,Zeme,"Mežozolu ceļš 1, Daugmale, Daugmales pag., Ķekavas nov.",2025-09-03,2 506,2 506,2 506,,21 900,9,8.74,-,Privātmājām,,1/1,Pierīga,Pierīga,ķekavas nov,2025.0,3.0
209,Zeme,"Zibens iela 6, Rīga",2025-09-03,9 196,9 196,9 196,,116 000,13,12.61,-,Privātmājām,,1/1,Rīga,Rīga,rīga,2025.0,3.0
210,Zeme,"Upes iela 1C, Saulkrasti, Saulkrastu nov.",2025-09-03,1 543,1 543,1 543,,24 000,16,15.55,-,Privātmājām,,1/1,Pierīga,Pierīga,saulkrastu nov,2025.0,3.0
211,Zeme,"Savariņa iela 12, Valmiera, Valmieras nov.",2025-09-02,1 625,1 625,1 625,,40 000,25,24.62,-,Privātmājām,,1/1,Vidzeme,Vidzeme,valmieras nov,2025.0,3.0
212,Zeme,"Koku iela 4, Ādaži, Ādažu nov.",2025-09-02,1 209,1 209,1 209,,20 000,17,16.54,-,Privātmājām,,1/1,Pierīga,Pierīga,ādažu nov,2025.0,3.0
213,Zeme,"Lakstīgala 127, Salaspils pag., Salaspils nov.",2025-09-02,478,478,478,,10 000,21,20.92,-,Privātmājām,,1/1,Pierīga,Pierīga,salaspils nov,2025.0,3.0
214,Zeme,"Rīgas iela 107, Salaspils, Salaspils nov.",2025-09-02,1 200,1 200,1 200,,53 000,44,44.17,-,Privātmājām,,1/1,Pierīga,Pierīga,salaspils nov,2025.0,3.0
215,Zeme,"4. līnija 30C, Jelgava",2025-09-02,1 542,1 542,1 542,,57 000,37,36.96,-,Privātmājām,,1/1,Zemgale,Zemgale,jelgava,2025.0,3.0
216,Zeme,Ventspils,2025-09-02,4 694,4 694,4 694,,20 000,4,4.26,-,Privātmājām,,1/1,Kurzeme,Kurzeme,ventspils,2025.0,3.0
217,Zeme,"Baltās kāpas iela 11, Jūrmala",2025-09-02,446,4 293,446,,25 000,56,56.05,-,Privātmājām,,446/4293,Pierīga,Pierīga,jūrmala,2025.0,3.0
218,Zeme,"Grundmaņu iela 1, Mārupe, Mārupes nov.",2025-09-02,1 201,1 201,1 201,,52 500,44,43.71,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2025.0,3.0
219,Zeme,"Graudu iela 10B, Engure, Engures pag., Tukuma nov.",2025-09-02,1 639,1 639,1 639,,18 000,11,10.98,-,Privātmājām,,1/1,Kurzeme,Kurzeme,tukuma nov,2025.0,3.0
220,Zeme,"Krimuldas pag., Siguldas nov.",2025-09-02,5 135,5 135,5 135,,10 000,2,1.95,-,Privātmājām,,1/1,Pierīga,Pierīga,siguldas nov,2025.0,3.0
221,Zeme,"Indriķa iela 20, Katlakalns, Ķekavas pag., Ķekavas nov.",2025-09-02,1 473,1 473,1 473,,45 000,31,30.55,-,Privātmājām,,1/1,Pierīga,Pierīga,ķekavas nov,2025.0,3.0
222,Zeme,"Rītupes iela 41, Grēnes, Olaines pag., Olaines nov.",2025-09-02,843,843,843,,31 460,37,37.32,-,Privātmājām,,1/1,Pierīga,Pierīga,olaines nov,2025.0,3.0
223,Zeme,"Ķiršu iela 2, Daugavpils",2025-09-02,630,630,630,,2 330,4,3.7,-,Privātmājām,,1/1,Latgale,Latgale,daugavpils,2025.0,3.0
224,Zeme,"Ganību iela 4, Valmiera, Valmieras nov.",2025-09-02,1 000,1 000,1 000,,24 500,25,24.5,-,Privātmājām,,1/1,Vidzeme,Vidzeme,valmieras nov,2025.0,3.0
225,Zeme,"Rītupes iela 48, Grēnes, Olaines pag., Olaines nov.",2025-09-02,658,658,658,,31 460,48,47.81,-,Privātmājām,,1/1,Pierīga,Pierīga,olaines nov,2025.0,3.0
226,Zeme,"Brīvības iela 11, Skrunda, Kuldīgas nov.",2025-09-01,1 196,1 196,1 196,,2 000,2,1.67,-,Privātmājām,,1/1,Kurzeme,Kurzeme,kuldīgas nov,2025.0,3.0
227,Zeme,"Ezera iela 3, Rāmava, Ķekavas pag., Ķekavas nov.",2025-09-01,2 646,2 646,2 646,,20 000,8,7.56,-,Privātmājām,,1/1,Pierīga,Pierīga,ķekavas nov,2025.0,3.0
228,Zeme,"Raiņa iela 39B, Rēzekne",2025-09-01,376,751,376,,10 100,27,26.9,-,Privātmājām,,1/2,Latgale,Latgale,rēzekne,2025.0,3.0
229,Zeme,"Brīnumu iela 3, Carnikava, Carnikavas pag., Ādažu nov.",2025-09-01,1 677,1 677,1 677,,62 000,37,36.97,-,Privātmājām,,1/1,Pierīga,Pierīga,ādažu nov,2025.0,3.0
230,Zeme,"Bērzu iela 25, Engure, Engures pag., Tukuma nov.",2025-09-01,1 688,1 688,1 688,,33 000,20,19.55,-,Privātmājām,,1/1,Kurzeme,Kurzeme,tukuma nov,2025.0,3.0
231,Zeme,"Krūkļu iela 26, Vīkuļi, Babītes pag., Mārupes nov.",2025-09-01,1 252,1 252,1 252,,30 000,24,23.96,-,Privātmājām,,1/1,Pierīga,Pierīga,mārupes nov,2025.0,3.0
232,Zeme,"Zemgales iela 28, Jēkabpils, Jēkabpils nov.",2025-09-01,1 470,1 470,1 470,,5 000,3,3.4,-,Privātmājām,,1/1,Zemgale,Zemgale,jēkabpils nov,2025.0,3.0
233,Zeme,"Lielā Strazdiņu iela 17, Dreiliņi, Stopiņu pag., Ropažu nov.",2025-09-01,876,1 752,876,,8 800,10,10.05,-,Privātmājām,,1/2,Pierīga,Pierīga,ropažu nov,2025.0,3.0
234,Zeme,"Matīsa iela 28, Ozolnieki, Ozolnieku pag., Jelgavas nov.",2025-09-01,981,981,981,,47 000,48,47.91,-,Privātmājām,,1/1,Zemgale,Zemgale,jelgavas nov,2025.0,3.0
235,Zeme,"Senlejas iela 25A, Daugavpils",2025-09-01,1 049,1 049,1 049,,10 000,10,9.53,-,Privātmājām,,1/1,Latgale,Latgale,daugavpils,2025.0,3.0
236,Zeme,"Spartaka iela 9, Ozolnieki, Ozolnieku pag., Jelgavas nov.",2025-09-01,1 457,1 457,1 457,,14 900,10,10.23,-,Privātmājām,,1/1,Zemgale,Zemgale,jelgavas nov,2025.0,3.0
237,Zeme,"Fridriķa iela 5, Rīga",2025-09-01,760,760,760,,36 500,48,48.03,-,Privātmājām,,1/1,Rīga,Rīga,rīga,2025.0,3.0
238,Zeme,"Gaujas iela 63, Rīga",2025-09-01,861,861,861,,33 400,39,38.79,-,Privātmājām,,1/1,Rīga,Rīga,rīga,2025.0,3.0
239,Zeme,"Kanāla iela 18, Rīga",2025-08-31,701,1 402,701,,25 500,36,36.38,-,Privātmājām,,1/2,Rīga,Rīga,rīga,2025.0,3.0
240,Zeme,"Sokolki, Mazie Kokini, Maļinovas pag., Augšdaugavas nov.",2025-08-29,6 900,6 900,6 900,,1 400,0,0.2,-,Privātmājām,,1/1,Latgale,Latgale,augšdaugavas nov,2025.0,3.0
241,Zeme,"Rožu iela 1, Mērsrags, Mērsraga pag., Talsu nov.",2025-08-29,2 100,2 100,2 100,,8 000,4,3.81,-,Privātmājām,,1/1,Kurzeme,Kurzeme,talsu nov,2025.0,3.0
242,Zeme,"Saules iela 8, Valmiera, Valmieras nov.",2025-08-29,657,1 186,657,,10 000,15,15.22,-,Privātmājām,,657/1186,Vidzeme,Vidzeme,valmieras nov,2025.0,3.0
243,Zeme,"Vējupes iela 41, Ādaži, Ādažu nov.",2025-08-29,3 192,3 192,3 192,,90 000,28,28.2,-,Privātmājām,,1/1,Pierīga,Pierīga,ādažu nov,2025.0,3.0
244,Zeme,"Brīvlauku iela 47, Salaspils, Salaspils nov.",2025-08-29,1 235,1 235,1 235,,41 000,33,33.2,-,Privātmājām,,1/1,Pierīga,Pierīga,salaspils nov,2025.0,3.0
