Category,Address,Date,Sold_Area_m2,Total_Area_m2,Land_m2,Interior_Area_m2,Price_EUR,Total_EUR_m2,Land_EUR_m2,Land_EUR_ha,Type,Finishing,Dom_Parts,region_with_riga,region_riga_separate,municipality,Year,Quarter,Month
Zeme,"Aidas iela 1, Saulkalne, Salaspils pag., Salaspils nov.",2025-09-30,2 722,2 722,2 722,,12 500,5,4.59,-,Privātmājām,,1/1,Pierīga,Pierīga,Salaspils,2025,3,9
Zeme,"Mākoņu iela 1, Ogre, Ogres nov.",2025-09-30,1 517,1 517,1 517,,10 000,7,6.59,-,Privātmājām,,1/1,Pierīga,Pierīga,Ogre,2025,3,9
Zeme,"Rudzu iela 7, Carnikava, Carnikavas pag., Ādažu nov.",2025-09-30,1 388,1 388,1 388,,50 000,36,36.02,-,Privātmājām,,1/1,Pierīga,Pierīga,Carnikava,2025,3,9
Zeme,"Pokaiņi 22, Krimūnu pag., Dobeles nov.",2025-09-30,1 063,1 063,1 063,,5 000,5,4.7,-,Privātmājām,,1/1,Zemgale,Zemgale,Dobele,2025,3,9
Zeme,"Pulkveža Brieža iela 60, Jūrmala",2025-09-30,7 354,7 354,7 354,,121 733,17,16.55,-,Privātmājām,,1/1,Pierīga,Pierīga,Jūrmala,2025,3,9
Zeme,"Smaidu iela 9, Ulbroka, Stopiņu pag., Ropažu nov.",2025-09-30,1 280,1 280,1 280,,60 000,47,46.88,-,Privātmājām,,1/1,Unknown,Unknown,Unknown,2025,3,9
Zeme,"Jaunās Ligzdiņas, Bernāti, Nīcas pag., Dienvidkurzemes nov.",2025-09-30,3 789,3 789,3 789,,25 000,7,6.6,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Nīca,2025,3,9
Zeme,"Plāteru iela 24C, Daugavpils",2025-09-29,1 301,1 301,1 301,,29 000,22,22.29,-,Privātmājām,,1/1,Latgale,Latgale,Daugavpils,2025,3,9
Zeme,"Rūsiņa iela 13, Sigulda, Siguldas nov.",2025-09-29,1 275,1 275,1 275,,50 000,39,39.22,-,Privātmājām,,1/1,Pierīga,Pierīga,Sigulda,2025,3,9
Zeme,"Sēņu iela 4, Pāvilosta, Dienvidkurzemes nov.",2025-09-29,1 000,1 000,1 000,,31 000,31,31.0,-,Privātmājām,,1/1,Kurzeme,Kurzeme,Pāvilosta,2025,3,9
Zeme,"Sunīšu iela 12, Sunīši, Garkalnes pag., Ropažu nov.",2025-09-29,1 430,1 430,1 430,,33 500,23,23.43,-,Privātmājām,,1/1,Pierīga,Pierīga,Garkalne,2025,3,9
Zeme,"Vainagu iela 2, Ķekava, Ķekavas nov.",2025-09-29,1 145,1 145,1 145,,10 720,9,9.36,-,Privātmājām,,1/1,Pierīga,Pierīga,Ķekava,2025,3,9
Zeme,"Kalnciema ceļš 102F, Jelgava",2025-09-29,2 000,2 000,2 000,,39 000,20,19.5,-,Privātmājām,,1/1,Zemgale,Zemgale,Jelgava,2025,3,9
Zeme,"Medemciema iela 62A, Medemciems, Olaines pag., Olaines nov.",2025-09-29,610,610,610,,15 000,25,24.59,-,Privātmājām,,1/1,Pierīga,Pierīga,Olaine,2025,3,9
Zeme,"Stārķu iela 51, Salaspils, Salaspils nov.",2025-09-29,601,601,601,,12 000,20,19.97,-,Privātmājām,,1/1,Pierīga,Pierīga,Salaspils,2025,3,9
